id,area_ha,perimeter_m,compactness,width_m,height_m,cause
46,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
48,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
49,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
56,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
58,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
60,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
65,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
67,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
68,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
70,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
72,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
75,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
76,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
79,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
82,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
83,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
84,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
90,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
92,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
93,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
100,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
104,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
105,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
109,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
111,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
115,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
116,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
117,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
118,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
119,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
120,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
123,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
126,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
127,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
129,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
130,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
134,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
139,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
140,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
141,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
142,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
143,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
144,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
148,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
150,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
151,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
153,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
155,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
156,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
157,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
165,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
168,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
169,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
